Birkenes  
Bodø  
Det Digitale Vestre Agder 
Etne  
Fauske  
Fjord  
Flesberg  
Fredrikstad  
Fyresdal  
Færder  
Kåfjord
Gildeskål  
Gjøvik  
Grong  
Halden  
Hamarøy  
Hammerfest  
Hareid  
Hjartdal  
Holmestrand  
Horten  
Hvaler  
Inderøy  
Indre Fosen  
Indre Østfold  
Kongsberg  
Kongsbergregionen IKT 
Kragerø  
Kristiansand  
Kvam
Kvinnherad  
Kviteseid  
Levanger  
Lier  
Lillehammer  
Lillesand  
Marker  
Meløy  
Midt-Telemark  
Moss  
Nesodden  
Nissedal  
Nittedal  
Nome  
Nordre Land  
Nordreisa  
Nore og Uvdal 
Notodden  
Orkland  
Porsgrunn  
Rakkestad  
Ringerike  
Rollag  
Rælingen  
Røros  
Råde  
Salangen  
Saltdal  
Sande  
Sarpsborg  
Seljord  
Sigdal  
Snåsa  
Steinkjer  
Stord  
Søndre Land  
Søre Sunnmøre IKT 
Sørfold  
Tinn  
Tokke  
Tromsø  
Tønsberg  
Verdal  
Vestre Toten  
Vinje  
Volda  
Vågan  
Ørsta  
Øvre Eiker  
Ålesund  
Åseral

#Disse under er fra kommunesamarbeid

#Hareid
#Herøy
#Sande
#Ulstein
#Volda
#Ørsta

#Notodden
#Hjartdal
#Tinn
#Kongsberg
#Flesberg
#Rollag
#Nore og Uvdal
#Sigdal
#Krødsherad

#Flekkefjord
#Farsund
#Kvinesdal
#Hægebostad
#Lindesnes 
#Åseral
